BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,,,,,
jiaqi.wei.2017_model1.nlogo,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,
02/10/2020 15:20:52:382 +0800,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
prob-lighting,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
prob-growth,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
[steps],100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
,,,,,,,,,,,,,,,,,,,,
[initial & final values],avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg
,5.7677,7.18156,8.02912,8.61542,9.00894,9.29846,9.49578,9.6017,9.67202,9.70096,9.64374,9.64096,9.4923,9.3289,9.06504,8.6836,8.20872,7.4791,6.2671,4.5948